name,id
Jennifer Livingston WKBT,477685328918958
Jennifer Profitt,1616669698566292
Jennifer Roberts for Charlotte Mayor,803491689669926
Jenny Day,279885448759061
Jeremy Eisenzopf Weather,162097590518967
Jeremy Hubbard,626067337433554
Jeremy Rogalski KHOU,247422935284419
Jerod Smalley,110812705624877
Jerry Revish,58249566690
Jerry Taft ABC7,153455661479103
Jesse Jones,817560175000895
Jessica Aguirre,152412204826968
Jessica D'Onofrio ABC7,544226042268404
Jessica Reyes FOX25,811856872255667
Jessica Starr,185567451465802
Jill Nicolini,54988254804
Jill Reale,159393737469946
Jill Simonian: The FAB Mom Lifestyle & Parenting,1027259037314888
Jim Cantore,252062638385
Jim Dolan,1538549673088484
Jim Duncan NBC12,127705933965443
Jim Gardner,103448634917
Jim Handly,191123100910471
Jim Heath,350633748350193
Jim Hoffer,204243346253158
Jim Sciutto,644738685584050
Jim Vance,313232495402983
Joan Lunden,209595479480
Joanie Lum Fox 32 Chicago,541594189216028
Joanna Small,508796945906535
JoAnne Purtan,180820245295208
Jocelyne Pruna,241724839182269
JoDee Kenney TWC News,206866109690884
"Jodie Fleischer, WSB-TV",115193245177403
Joe Arpaio,108536052520558
Joe Bastianich,108586499188874
Joe Becker (KGW),316207155129459
Joe Clair,283340571775346
Joe Donlon (KGW-TV),138389559570706
Joe Murgo - WTAJ Chief Meteorologist,107133198795
Joe Pags,106854275018
Joe Reinagel - KENS 5,115749188500201
Joe Roetz,193496184004731
Joe Stowell,466782533466268
Joe Terrell KLTV,121115097979457
Joel Brown WTVD,139905556109604
Joey Harrington,935619096559245
Joey Sulipeck FOX13 Memphis,274657602661096
John Berman,164745420220359
John Carter WBTV,54483844099
John Dawson FOX 26,497454750307505
John Donnelly FOX 26,317634238274293
John Elliott,1664129267175182
John Garcia ABC7,422805901129427
John Gregory,751667334893812
John Holt - FOX 4 News,141344909289594
John Hook Fox 10,221440981326266
John Jessup,301137956586937
John Knicely KIRO 7,479395088793295
John Leguizamo's Ghetto Klown,148136908561859
John Lomax Local 12 News,111474285625982
John Nolan,209814439031821
John Patrick,220565714625346
John Paul,135208086497434
John Robison KCBD,509892355755440
John Snell,807833025927703
"John Waggoner, personal finance writer",300690533286278
Johnny Iuzzini,135134699867346
Jon Kelley,250561034957196
Jon Scott,81605107126
Jon Shirek 11Alive,182568918615415
Jonathan Carlson,1451062848482995
Jonathan Novack,135259383171603
Jonathan Vigliotti,394989333899277
Jordan Wilkerson - Live 5 News,471057539690446
Jose Grinan FOX 26,329151630459109
Josh Egbert KKTV,183570621715588
Josh Einiger,366592183495525
Josh Johnson WSFA,117379274995668
Josh Poland,148375971854871
Josh Rubenstein,186995011426570
Jovana Lara,1562824017273051
Jovita Moore,80837488144
Joy Lim Nakrin,357740104413875
Joyce Garbaciak WISN,388930641293467
Joyce Taylor,260256394000143
Juan Fernandez,81557191055
Jude LaCava FOX 10,787030204747162
Judge Andrew Napolitano,207770190801
Judi Gatson,290111717687203
Judy Hsu ABC7,423288204391270
Julia Fello,166067996736568
Julia Krey,327077820696800
Julie Banovic,132610193536419
Julie Bologna,1450161988593850
Julie Chang,124663961040898
Julie Durda,111593328905402
Julie Francavilla,235414551817
Julie Grant,496684350397321
Julie Haener KTVU,488057717911616
Julie Martin TV,133097610434
Julie Nelson,158079970919618
Julie Wright,520490457973717
Juliet Huddy TV,860512160706006
Jummy Olabanji,733170770069344
Jungle Jack Hanna,90183693693
"Justin Berk, Meteorologist",54875673475
Justin Biegel Sports,259345591093246
Justin Farmer,114430595277727
Jym Ganahl,117259094966234
Kacey Montoya,149044251889382
Kaci Aitchison,198646186850800
Kacie Hollins,409870482483840
Kailani Koenig,1444479379213022
Kait Parker,192592867421217
Kaitlin Cody,519291081509839
Kaitlin Monte FOX26,165594960174405
Kaitlyn McGrath NBC Connecticut,244857309022570
Kaitlyn Pratt FOX 5,314674371909931
Kaitlyn Ross 11Alive,149100821787200
Kaity Tong,125570244128993
Kala Rama,519909671437432
Karen Brown TV,563986523650256
